trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	num_distr	fixation.started	target.started	mouse.started	mouse.x	mouse.y	mouse.leftButton	mouse.midButton	mouse.rightButton	mouse.clicked_name	participant	session	date	expName	psychopyVersion	frameRate
109	0	109	0	10	174.6633559	174.6633559	0.0341403	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
110	0	110	0	10	175.113175	175.113175	0.0457845	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
112	0	112	0	10	176.3623005	176.3623005	0.0332707	0.051851852	0.146296296	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
114	0	114	0	10	177.2594963	177.2594963	0.0323031	0.051851852	0.146296296	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
119	0	119	0	10	180.1314343	180.1314343	0.0328329	0.051851852	0.146296296	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
121	0	121	0	10	181.1785145	181.1785145	0.0414495	0.051851852	0.146296296	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
123	0	123	0	10	182.2258859	182.2258859	0.0437127	0.051851852	0.146296296	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
125	0	125	0	10	183.422365	183.422365	0.0367593	0.051851852	0.144444444	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
129	0	129	0	10	185.5497444	185.5497444	0.0562672	0.056481481	0.136111111	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
130	0	130	0	10	186.0348033	186.0348033	0.046023	0.062962963	0.126851852	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
134	0	134	0	10	191.599961	191.599961	0.0386255	0.062962963	0.126851852	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
135	0	135	0	10	192.2148798	192.2148798	0.0297787	0.062962963	0.126851852	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
138	0	138	0	10	194.1430968	194.1430968	0.0493684	0.062962963	0.126851852	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
142	0	142	0	10	196.5199627	196.5199627	0.0547271	0.062962963	0.126851852	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
143	0	143	0	10	197.1680648	197.1680648	0.0521749	0.062962963	0.126851852	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
144	0	144	0	10	197.7829909	197.7829909	0.0295186	0.062962963	0.126851852	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
145	0	145	0	10	198.3981714	198.3981714	0.052254	0.062962963	0.126851852	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
147	0	147	0	10	199.5117711	199.5117711	0.0501179	0.062962963	0.126851852	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
148	0	148	0	10	200.0604124	200.0604124	0.0542212	0.062962963	0.126851852	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
149	0	149	0	10	200.5920542	200.5920542	0.0402249	0.062962963	0.126851852	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
151	0	151	0	10	202.1210864	202.1210864	0.0406913	0.062962963	0.126851852	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
152	0	152	0	10	202.7729496	202.7729496	0.047305	0.061111111	0.126851852	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
153	0	153	0	10	203.4009774	203.4009774	0.0564931	0.061111111	0.126851852	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
157	0	157	0	10	205.8646653	205.8646653	0.0328134	0.061111111	0.126851852	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
160	0	160	0	10	207.8387551	207.8387551	0.0567065	0.061111111	0.126851852	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
163	0	163	0	10	209.6671054	209.6671054	0.0569137	0.061111111	0.126851852	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
164	0	164	0	10	210.4815495	210.4815495	0.0557234	0.061111111	0.125925926	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
165	0	165	0	10	211.146363	211.146363	0.0528012	0.061111111	0.125925926	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
166	0	166	0	10	212.0939393	212.0939393	0.0407098	0.061111111	0.125925926	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
167	0	167	0	10	212.9417309	212.9417309	0.071085	0.061111111	0.125925926	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
169	0	169	0	10	214.0883665	214.0883665	0.0375918	0.061111111	0.125925926	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
171	0	171	0	10	215.1890347	215.1890347	0.0327126	0.061111111	0.125925926	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
172	0	172	0	10	215.8336242	215.8336242	0.0382794	0.061111111	0.125925926	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
174	0	174	0	10	217.0504487	217.0504487	0.0335622	0.061111111	0.125925926	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
176	0	176	0	10	218.1605783	218.1605783	0.0357577	0.061111111	0.125925926	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
177	0	177	0	10	218.7421976	218.7421976	0.0520877	0.061111111	0.125925926	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
178	0	178	0	10	219.3074037	219.3074037	0.0389758	0.061111111	0.125925926	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
180	0	180	0	10	220.3544097	220.3544097	0.0372679	0.063888889	0.125925926	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
181	0	181	0	10	221.1053538	221.1053538	0.0464976	0.063888889	0.125925926	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
183	0	183	0	10	222.1866712	222.1866712	0.0296867	0.063888889	0.125925926	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
184	0	184	0	10	222.797893	222.797893	0.0399953	0.063888889	0.125925926	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
188	0	188	0	10	225.0606666	225.0606666	0.032071	0.063888889	0.125925926	0	0	1		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
190	0	190	0	10	226.2051599	226.2051599	0.0361361	0.063888889	0.125925926	0	0	1		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
192	0	192	0	10	227.3353695	227.3353695	0.0372884	0.063888889	0.125925926	0	0	1		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
194	0	194	0	10	228.4822859	228.4822859	0.0542526	0.063888889	0.125925926	0	0	1		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
195	0	195	0	10	229.0640179	229.0640179	0.0398292	0.063888889	0.125925926	0	0	1		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
197	0	197	0	10	230.1609835	230.1609835	0.0566415	0.063888889	0.125925926	0	0	1		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
198	0	198	0	10	230.7101798	230.7101798	0.0448504	0.063888889	0.125925926	0	0	1		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
