Staircase.thisTrialN,Staircase.stepSize,Staircase.intensity,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,Staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
55,0.5,20.0,101.8807616000995,102.37962360004894,102.37962360004894,102.39640230010264,102.6949032000266,left,-20.0,1,1,1.430994699941948,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
56,0.5,20.0,103.8420290001668,104.34089600015432,104.34089600015432,104.34089600015432,104.63976779999211,right,20.0,0,0,0.7842873998451978,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
57,0.5,20.0,105.15501270000823,105.65363329998218,105.65363329998218,105.67021570005454,105.95270850020461,left,-20.0,0,0,0.6924486998468637,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
58,0.5,20.0,106.36869120015763,106.8676041001454,106.8676041001454,106.88363040005788,107.1829105000943,left,-20.0,0,0,0.6787917998153716,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
59,0.5,20.0,107.56497490010224,108.06370629998855,108.06370629998855,108.08020139997825,108.36287000006996,left,-20.0,1,1,0.8921008997131139,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
60,0.5,20.0,108.97792910016142,109.47646280005574,109.47646280005574,109.49308679997921,109.7757482000161,left,-20.0,0,0,0.7335383000317961,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
61,0.5,20.0,110.24107039999217,110.73975030006841,110.73975030006841,110.75615350017324,111.03927320009097,left,-20.0,1,1,0.39243689994327724,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
62,0.5,20.0,111.15513389999978,111.65388390002772,111.65388390002772,111.67043040017597,111.95312660001218,right,20.0,0,0,0.45869569992646575,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
63,0.5,20.0,112.13569830008782,112.63512980006635,112.63512980006635,112.63512980006635,112.95048300013877,right,20.0,0,0,0.329414599807933,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
64,0.5,20.0,112.98368970002048,113.48284499999136,113.48284499999136,113.48284499999136,113.79809960001148,left,-20.0,0,0,0.3976984997279942,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
65,0.5,20.0,113.89813109999523,114.39634490013123,114.39634490013123,114.41304740007035,114.69606610015035,right,20.0,1,1,0.47093969979323447,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
66,0.5,20.0,114.89553580014035,115.39357780013233,115.39357780013233,115.41015880019404,115.69277460011654,right,20.0,1,1,0.7131352997384965,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
67,0.5,20.0,116.12473020004109,116.6234518000856,116.6234518000856,116.6400874000974,116.92256180010736,left,-20.0,1,1,0.3807661999017,1,001,2023-09-10_11h12.55.981,Psychopy_Adaptive staircase,2023.1.3,60.1520041655475,
